Height/Width,250,460,610,760,910,1060,1210,1360,1510,1660,1810,1960,2110,2260,2410,2560,2710,2860,3000
200,25,25,27,30,32,35,37,40,41,45,46,50,52,53,57,58,61,63,66
610,25,25,27,30,32,35,37,40,41,45,46,50,52,53,57,58,61,63,66
760,26,26,30,32,35,38,40,43,46,50,52,53,57,60,63,66,69,73,77
910,27,27,31,33,37,40,43,47,51,53,57,60,63,66,69,72,76,79,83
1060,30,30,32,37,40,43,47,51,53,58,61,64,69,72,76,79,83,87,91
1210,31,31,33,38,43,46,51,53,58,61,66,71,73,78,82,86,89,93,97
1360,33,33,38,43,47,51,56,60,64,69,73,78,83,88,92,97,102,107,112
1510,35,35,40,46,51,56,60,66,71,76,82,86,91,97,102,105,110,115,120
1660,37,37,43,50,53,60,66,71,77,83,88,93,98,104,110,115,122,128,134
1810,40,40,47,53,60,66,72,78,84,91,97,103,109,115,122,128,135,143,150
1960,40,40,47,53,60,66,75,80,86,92,98,104,110,118,124,130,136,145,149
2110,41,41,50,56,63,69,77,83,91,97,103,110,117,124,130,138,144,,
2260,43,43,52,57,64,71,78,84,92,99,105,114,122,128,135,143,,,
2410,45,45,54,58,66,73,82,89,97,104,112,119,128,134,141,,,,
2560,47,47,56,60,67,76,83,91,98,105,114,123,130,138,,,,,
2710,49,49,58,62,69,78,85,93,100,107,116,126,135
2860,51,51,60,64,70,80,86,95,103,110,118,128,
3010,52,52,61,66,72,82,89,98,105,115,124,131,
